branch_id,provider_id,branch_name,country,city,phone,address,manager,opening_hours,services
BR-00012,PR-00066,Sucursal and Sons Los Ángeles,Estados Unidos,Los Ángeles,+1 677484146,"77033 Hall Summit
Millerport, SD 68013",Robert Case,"Lunes a Viernes, 8:30–17:30","Entrega y recogida, Reparaciones"
BR-00013,PR-00075,Sucursal Inc Punta Cana,Dominican Republic,Punta Cana,+1 622619791,"59158 David Passage
West William, CT 44366",Christine Gonzalez,"Todos los días, 8:00–22:00","Ventas, Reparaciones"
BR-00014,PR-00031,Sucursal LLC Yokohama,Japón,Yokohama,+81 653806381,"6818 Sullivan Islands Apt. 511
Smithland, AK 18201",Stephen Gonzales,"Lunes a Viernes, 9:00–18:00","Consultoría, Ventas, Atención al cliente, Reparaciones"
BR-00015,PR-00005,Sucursal Group Nápoles,Italia,Nápoles,+39 697713930,"Unit 2714 Box 8029
DPO AE 54694",Timothy Morris,"Martes a Domingo, 11:00–19:00","Consultoría, Logística"
BR-00016,PR-00004,Sucursal PLC Osaka,Japón,Osaka,+81 610130691,"43492 Carlos Terrace Suite 901
New John, IL 22169",Haley Garcia,"Todos los días, 8:00–22:00","Consultoría, Entrega y recogida"
BR-00017,PR-00070,Sucursal Inc Chicago,Estados Unidos,Chicago,+1 698900071,"72260 Hayes Cape Suite 939
Lake Jasminestad, ID 11391",Heather Martinez,"Martes a Domingo, 11:00–19:00","Consultoría, Reparaciones"
BR-00018,PR-00040,Sucursal Inc Guadalajara,México,Guadalajara,+52 653851246,"35819 Howard River Suite 906
Belindachester, VT 84513",Justin Thomas,"Todos los días, 8:00–22:00","Entrega y recogida, Ventas, Consultoría, Logística"
BR-00019,PR-00046,Sucursal Inc Moscú,Rusia,Moscú,+7 679587869,"48291 Jonathan Club
Lloydfort, IL 12626",Karen Arnold,"Todos los días, 8:00–22:00","Logística, Reparaciones"
BR-00020,PR-00081,Sucursal LLC Guadalajara,México,Guadalajara,+52 619694111,"510 Laurie Burgs
Frankfort, GU 78539",Penny Baker,"Lunes a Viernes, 8:30–17:30","Logística, Atención al cliente, Reparaciones, Consultoría"
BR-00021,PR-00065,Sucursal Inc San Petersburgo,Rusia,San Petersburgo,+7 650426321,"70169 Rose Crescent
North Matthew, WV 73803",Elizabeth Christensen,"Lunes a Viernes, 9:00–18:00","Consultoría, Atención al cliente, Reparaciones, Entrega y recogida"
BR-00022,PR-00009,Sucursal PLC Marsella,Francia,Marsella,+33 602277687,"9996 Brian Wells
East Coreyville, IA 78943",William Stewart,"Lunes a Sábado, 10:00–20:00","Soporte técnico, Entrega y recogida, Ventas"
BR-00023,PR-00084,Sucursal and Sons Caracas,Venezuela,Caracas,+58 682745566,"10362 Avila Falls
Hoffmanstad, WY 50380",Melissa Johnston,"Todos los días, 8:00–22:00","Ventas, Reparaciones, Soporte técnico, Entrega y recogida"
BR-00024,PR-00095,Sucursal LLC Ekaterimburgo,Rusia,Ekaterimburgo,+7 654900955,"USNV Turner
FPO AP 28354",Julie Richardson,"Lunes a Sábado, 10:00–20:00","Entrega y recogida, Soporte técnico, Reparaciones"
BR-00025,PR-00091,Sucursal and Sons Toulouse,Francia,Toulouse,+33 615889644,"25765 James Hills
New Paulfort, ND 23906",Cory Reese,"Lunes a Sábado, 10:00–20:00","Consultoría, Reparaciones, Atención al cliente"
BR-00026,PR-00073,Sucursal PLC Sevilla,España,Sevilla,+34 633708173,"902 Grimes Bridge
Fleminghaven, NJ 90797",Kelsey Glenn,"Lunes a Viernes, 9:00–18:00","Consultoría, Logística, Entrega y recogida, Soporte técnico"
BR-00027,PR-00088,Sucursal PLC Nizhni Nóvgorod,Rusia,Nizhni Nóvgorod,+7 631278491,"4859 Mark Manors
South Kimberlyshire, AL 28911",Tina Baker,"Lunes a Sábado, 10:00–20:00","Atención al cliente, Reparaciones"
BR-00028,PR-00061,Sucursal PLC Santiago de los Caballeros,Dominican Republic,Santiago de los Caballeros,+1 645712876,"4291 Ortiz Brook Suite 758
Thomasfurt, UT 20282",James Fernandez,"Lunes a Viernes, 8:30–17:30","Atención al cliente, Consultoría, Ventas"
BR-00029,PR-00094,Sucursal LLC Punta Cana,Dominican Republic,Punta Cana,+1 620407242,"506 Jacqueline Spring
Lake Tasha, ID 39843",Shelby Arnold,"Todos los días, 8:00–22:00","Entrega y recogida, Soporte técnico"
BR-00030,PR-00079,Sucursal PLC Calgary,Canadá,Calgary,+1 676106471,"8955 Karen Forges
Phyllisfurt, IA 42429",Joshua Whitaker,"Lunes a Viernes, 8:30–17:30","Atención al cliente, Ventas, Entrega y recogida, Consultoría"
BR-00031,PR-00046,Sucursal PLC Moscú,Rusia,Moscú,+7 604782980,"324 Jason Trace Suite 361
East Steven, IN 63590",Renee Haley,"Martes a Domingo, 11:00–19:00","Reparaciones, Atención al cliente"
BR-00032,PR-00063,Sucursal Group Sevilla,España,Sevilla,+34 609786387,"40068 Alexander Club
East Latoya, CA 53660",Amanda Spencer,"Todos los días, 8:00–22:00","Entrega y recogida, Ventas, Logística, Atención al cliente"
BR-00033,PR-00015,Sucursal Inc Valencia,España,Valencia,+34 665000237,"2383 Susan Underpass
Poolefort, VA 68817",Hannah Graham,"Todos los días, 8:00–22:00","Logística, Soporte técnico"
BR-00034,PR-00010,Sucursal Ltd Tokio,Japón,Tokio,+81 642367744,"93725 Jennifer Ville Apt. 224
East Natalie, SD 90373",Scott Jacobs,"Martes a Domingo, 11:00–19:00","Reparaciones, Soporte técnico, Ventas, Entrega y recogida"
BR-00035,PR-00070,Sucursal PLC Chicago,Estados Unidos,Chicago,+1 615747272,"15855 Joel Parks
Lake Kristinaborough, MI 37880",Mackenzie Montoya,"Lunes a Viernes, 9:00–18:00","Soporte técnico, Atención al cliente"
BR-00036,PR-00036,Sucursal and Sons Berlín,Alemania,Berlín,+49 601456502,"2449 Ferguson Forest
Port Marciachester, NV 04754",Brian Campbell,"Lunes a Viernes, 8:30–17:30","Logística, Soporte técnico, Entrega y recogida, Reparaciones"
BR-00037,PR-00052,Sucursal Group Vancouver,Canadá,Vancouver,+1 644483046,"USNV Sims
FPO AA 30705",Dave Phillips,"Todos los días, 8:00–22:00","Ventas, Consultoría, Soporte técnico"
BR-00038,PR-00099,Sucursal Group Ciudad de México,México,Ciudad de México,+52 670080508,"3786 Sherman Center Suite 988
East Joseph, MI 29913",Dale Rodriguez,"Martes a Domingo, 11:00–19:00","Reparaciones, Consultoría, Atención al cliente, Ventas"
BR-00039,PR-00022,Sucursal and Sons Yokohama,Japón,Yokohama,+81 634025048,"535 Ian Highway Apt. 018
Cameronmouth, AK 16753",Tonya Delgado,"Lunes a Sábado, 10:00–20:00","Reparaciones, Atención al cliente, Consultoría"
BR-00040,PR-00091,Sucursal LLC Toulouse,Francia,Toulouse,+33 618443991,"28772 Hickman Pass
Stewarthaven, IN 64310",David Wright,"Lunes a Viernes, 9:00–18:00","Ventas, Atención al cliente, Consultoría"
BR-00041,PR-00059,Sucursal PLC Valencia,Venezuela,Valencia,+58 692386140,"182 Savannah Spring Suite 026
New Tiffany, NY 08650",Nicholas Rice,"Martes a Domingo, 11:00–19:00","Consultoría, Soporte técnico, Reparaciones"
BR-00042,PR-00055,Sucursal Ltd Maracaibo,Venezuela,Maracaibo,+58 647754203,"7334 Karina Harbor Suite 090
Ritabury, GA 10867",Brian Ortiz,"Todos los días, 8:00–22:00","Logística, Consultoría, Soporte técnico, Reparaciones"
BR-00043,PR-00049,Sucursal and Sons Toronto,Canadá,Toronto,+1 642872631,"258 Justin Pines Suite 823
Ashleyfort, AL 54945",John Kemp,"Martes a Domingo, 11:00–19:00","Ventas, Atención al cliente, Consultoría, Soporte técnico"
BR-00044,PR-00057,Sucursal and Sons Sevilla,España,Sevilla,+34 607883454,"418 Cochran Divide Suite 394
North John, NH 78091",Kimberly Kelly DDS,"Lunes a Viernes, 8:30–17:30","Soporte técnico, Ventas"
BR-00045,PR-00070,Sucursal and Sons Chicago,Estados Unidos,Chicago,+1 633995745,"308 Phelps Mountain Suite 214
Bryantshire, MS 86494",Max Ramirez,"Martes a Domingo, 11:00–19:00","Entrega y recogida, Consultoría, Reparaciones, Ventas"
BR-00046,PR-00056,Sucursal Group Berlín,Alemania,Berlín,+49 644160408,"339 Leon Mews
Edwardside, MO 64301",Joseph Rich,"Lunes a Sábado, 10:00–20:00","Logística, Consultoría"
BR-00047,PR-00092,Sucursal Ltd Valencia,España,Valencia,+34 650415720,"5357 Penny Spring
Lake James, WV 01431",Adriana Nolan,"Lunes a Sábado, 10:00–20:00","Atención al cliente, Soporte técnico, Consultoría"
BR-00048,PR-00097,Sucursal and Sons Montreal,Canadá,Montreal,+1 685395677,"5492 Bailey Center
Hernandezmouth, IN 34944",David Diaz,"Lunes a Viernes, 9:00–18:00","Ventas, Entrega y recogida"
BR-00049,PR-00066,Sucursal PLC Los Ángeles,Estados Unidos,Los Ángeles,+1 693009944,"5844 Gregory Forest Apt. 068
Whitakerfurt, KS 53686",Gina Lane,"Martes a Domingo, 11:00–19:00","Entrega y recogida, Atención al cliente, Soporte técnico, Reparaciones"
BR-00050,PR-00063,Sucursal and Sons Sevilla,España,Sevilla,+34 604593699,"655 Cantrell Squares
South Alexandria, MA 38498",Sherry Nicholson,"Martes a Domingo, 11:00–19:00","Logística, Ventas"
BR-00051,PR-00047,Sucursal PLC Santiago de los Caballeros,Dominican Republic,Santiago de los Caballeros,+1 647855563,"67110 Nelson Plains Apt. 302
New Heatherton, KS 05558",Gary Atkins,"Lunes a Sábado, 10:00–20:00","Ventas, Consultoría, Reparaciones"
BR-00052,PR-00038,Sucursal Group Valencia,Venezuela,Valencia,+58 652375107,"80548 Logan Forks
East Kennethburgh, MA 75332",Michelle Jones,"Lunes a Viernes, 9:00–18:00","Reparaciones, Entrega y recogida"
BR-00053,PR-00003,Sucursal PLC Yokohama,Japón,Yokohama,+81 617962118,"51827 Thomas Hollow
Port Joseph, NJ 85694",Julie Nichols,"Martes a Domingo, 11:00–19:00","Atención al cliente, Soporte técnico, Reparaciones"
BR-00054,PR-00089,Sucursal Inc Valencia,España,Valencia,+34 616937526,"44373 Brandy Valley
East Jeffrey, IL 87151",Eduardo Sheppard,"Lunes a Sábado, 10:00–20:00","Reparaciones, Ventas"
BR-00055,PR-00073,Sucursal Ltd Sevilla,España,Sevilla,+34 606073419,"6779 Lance Ramp Suite 854
North Amy, NM 57666",Kimberly Lee,"Lunes a Viernes, 8:30–17:30","Consultoría, Logística, Entrega y recogida"
BR-00056,PR-00060,Sucursal Group Nueva York,Estados Unidos,Nueva York,+1 631328415,"USNV Garrett
FPO AP 45741",Cheryl Young,"Todos los días, 8:00–22:00","Reparaciones, Entrega y recogida, Soporte técnico, Logística"
BR-00057,PR-00041,Sucursal LLC Monterrey,México,Monterrey,+52 660173057,"977 Anthony Walks
Scottmouth, SC 76740",Robert Fox,"Lunes a Viernes, 9:00–18:00","Entrega y recogida, Reparaciones, Atención al cliente"
BR-00058,PR-00040,Sucursal and Sons Guadalajara,México,Guadalajara,+52 662724139,"11710 Jesus Vista Suite 385
Lake Anthonychester, SD 91317",Tricia Harris,"Lunes a Sábado, 10:00–20:00","Atención al cliente, Consultoría"
BR-00059,PR-00067,Sucursal Group Nizhni Nóvgorod,Rusia,Nizhni Nóvgorod,+7 665548959,"751 Martha Road
South Brooke, VI 10693",Mary Olson,"Martes a Domingo, 11:00–19:00","Atención al cliente, Entrega y recogida"
BR-00060,PR-00025,Sucursal Group Nápoles,Italia,Nápoles,+39 611887919,"Unit 6629 Box 5212
DPO AP 77368",Stacy Williams,"Martes a Domingo, 11:00–19:00","Atención al cliente, Logística, Reparaciones"
BR-00061,PR-00090,Sucursal PLC Madrid,España,Madrid,+34 679592678,"64950 Russell Place
Weaverstad, MN 99709",Mary English,"Lunes a Viernes, 9:00–18:00","Logística, Reparaciones, Entrega y recogida, Ventas"
BR-00062,PR-00074,Sucursal Ltd Sevilla,España,Sevilla,+34 642427337,"708 Calvin Run Apt. 684
East Jamesfort, NH 97447",Sara Sellers,"Lunes a Viernes, 9:00–18:00","Reparaciones, Atención al cliente, Soporte técnico"
BR-00063,PR-00083,Sucursal Inc Caracas,Venezuela,Caracas,+58 605015260,"16409 Lauren Haven Suite 013
East Tiffanychester, MA 52315",Matthew Krause,"Martes a Domingo, 11:00–19:00","Logística, Entrega y recogida, Consultoría, Soporte técnico"
BR-00064,PR-00055,Sucursal Ltd Maracaibo,Venezuela,Maracaibo,+58 684777623,"PSC 1279, Box 7802
APO AE 36594",Megan Gillespie,"Lunes a Sábado, 10:00–20:00","Consultoría, Entrega y recogida, Soporte técnico, Atención al cliente"
BR-00065,PR-00005,Sucursal PLC Nápoles,Italia,Nápoles,+39 619230114,"7078 Jennifer Union
Angelastad, WI 00824",Brett Mccormick,"Lunes a Viernes, 8:30–17:30","Logística, Atención al cliente, Entrega y recogida"
BR-00066,PR-00030,Sucursal and Sons Toulouse,Francia,Toulouse,+33 607891816,"722 Tina Roads
West Abigailborough, NV 23912",David Abbott,"Martes a Domingo, 11:00–19:00","Logística, Consultoría, Reparaciones, Soporte técnico"
BR-00067,PR-00099,Sucursal Group Ciudad de México,México,Ciudad de México,+52 624862056,"47887 Graves Lakes Suite 470
East Stephanieshire, FM 24577",Joseph Long,"Lunes a Viernes, 9:00–18:00","Soporte técnico, Reparaciones, Ventas"
BR-00068,PR-00021,Sucursal Ltd Hamburgo,Alemania,Hamburgo,+49 620945538,"4720 Harrison Meadow Apt. 853
Kaylaside, IL 94910",Lauren Joseph,"Lunes a Viernes, 8:30–17:30","Reparaciones, Ventas, Logística"
BR-00069,PR-00046,Sucursal Group Moscú,Rusia,Moscú,+7 678084592,"94746 Melissa Junction
Danielston, NC 93523",Travis Rodriguez,"Todos los días, 8:00–22:00","Logística, Soporte técnico, Entrega y recogida, Consultoría"
BR-00070,PR-00041,Sucursal and Sons Monterrey,México,Monterrey,+52 630706724,"5689 Stokes Cape
Lake Jeffrey, CT 87272",Gabrielle Santos,"Martes a Domingo, 11:00–19:00","Consultoría, Atención al cliente, Ventas"
BR-00071,PR-00089,Sucursal PLC Valencia,España,Valencia,+34 616816849,"7762 Kelly Ford Apt. 436
East Scottport, FM 09264",Shari Mejia,"Todos los días, 8:00–22:00","Soporte técnico, Reparaciones, Entrega y recogida, Ventas"
BR-00072,PR-00073,Sucursal Group Sevilla,España,Sevilla,+34 647943373,"1534 Erickson Rapid Apt. 956
Lake Carol, AR 56651",Katie Wilkerson,"Todos los días, 8:00–22:00","Soporte técnico, Entrega y recogida"
BR-00073,PR-00071,Sucursal Group Santo Domingo,Dominican Republic,Santo Domingo,+1 625391904,"24547 Cindy Knoll Apt. 564
Myersborough, IN 04729",Dr. Carrie Thomas,"Martes a Domingo, 11:00–19:00","Logística, Atención al cliente, Ventas, Consultoría"
BR-00074,PR-00072,Sucursal Ltd Montreal,Canadá,Montreal,+1 643271534,"6231 Paul Shore
East Debrahaven, WI 33679",Michelle Schmidt,"Todos los días, 8:00–22:00","Consultoría, Atención al cliente, Soporte técnico, Reparaciones"
BR-00075,PR-00077,Sucursal Ltd Nueva York,Estados Unidos,Nueva York,+1 661597948,"USCGC Simpson
FPO AP 28158",Amanda Hunter,"Lunes a Viernes, 8:30–17:30","Entrega y recogida, Soporte técnico, Ventas"
BR-00076,PR-00072,Sucursal LLC Montreal,Canadá,Montreal,+1 612282447,"52126 Tiffany Well
New Kristinaberg, VA 01673",Alexandra Garcia,"Martes a Domingo, 11:00–19:00","Logística, Reparaciones, Ventas, Soporte técnico"
BR-00077,PR-00037,Sucursal PLC Lyon,Francia,Lyon,+33 612194235,"3184 Kristina Crossroad
Grantton, VA 93667",Anthony Sanchez,"Todos los días, 8:00–22:00","Atención al cliente, Entrega y recogida, Ventas"
BR-00078,PR-00088,Sucursal Group Nizhni Nóvgorod,Rusia,Nizhni Nóvgorod,+7 645806234,"79232 Lang Creek Apt. 909
Smithburgh, WA 67321",Anthony Shah,"Todos los días, 8:00–22:00","Logística, Consultoría, Reparaciones, Atención al cliente"
BR-00079,PR-00085,Sucursal LLC La Romana,Dominican Republic,La Romana,+1 607421098,"7397 Roberson Mills Apt. 860
Port Edwinfurt, OR 90623",Andrea Love,"Lunes a Viernes, 8:30–17:30","Soporte técnico, Atención al cliente"
BR-00080,PR-00004,Sucursal and Sons Osaka,Japón,Osaka,+81 695897708,"26242 Ramirez River
Port Dianebury, MA 89133",Christopher Long,"Lunes a Viernes, 8:30–17:30","Soporte técnico, Ventas, Reparaciones"
BR-00081,PR-00060,Sucursal and Sons Nueva York,Estados Unidos,Nueva York,+1 668063255,"579 Ana Fields Suite 207
North Robertland, ME 71892",Albert Caldwell,"Todos los días, 8:00–22:00","Consultoría, Soporte técnico, Entrega y recogida"
BR-00082,PR-00053,Sucursal LLC Hamburgo,Alemania,Hamburgo,+49 670117780,"7274 Ricardo Plain Apt. 000
New Jennifermouth, VI 62189",Eric Wade,"Todos los días, 8:00–22:00","Entrega y recogida, Atención al cliente, Reparaciones"
BR-00083,PR-00024,Sucursal Inc Chicago,Estados Unidos,Chicago,+1 678608549,"466 Stone Plain
Lake Davidchester, AS 11929",Kim Pineda,"Lunes a Viernes, 8:30–17:30","Logística, Reparaciones"
BR-00084,PR-00087,Sucursal Group Tokio,Japón,Tokio,+81 668055067,"75443 Emily Glens Apt. 332
East Carolyn, ID 70310",Theresa Kelly,"Lunes a Sábado, 10:00–20:00","Consultoría, Soporte técnico, Atención al cliente, Entrega y recogida"
BR-00085,PR-00086,Sucursal PLC París,Francia,París,+33 671893682,"Unit 6948 Box 0062
DPO AA 70873",Courtney Roberts,"Todos los días, 8:00–22:00","Reparaciones, Logística, Atención al cliente, Consultoría"
BR-00086,PR-00043,Sucursal Group Monterrey,México,Monterrey,+52 674730022,"9253 Cassandra Mountain
Geraldchester, TX 54523",Keith Webb MD,"Martes a Domingo, 11:00–19:00","Ventas, Consultoría, Soporte técnico"
BR-00087,PR-00057,Sucursal Ltd Sevilla,España,Sevilla,+34 685887331,"127 James Field Suite 142
East Katrina, NH 77711",Nicholas Suarez,"Martes a Domingo, 11:00–19:00","Atención al cliente, Consultoría"
BR-00088,PR-00079,Sucursal PLC Calgary,Canadá,Calgary,+1 621306356,"3940 Williams Parks
West Taylor, TN 99873",Erik Wagner,"Lunes a Sábado, 10:00–20:00","Soporte técnico, Logística, Ventas, Consultoría"
BR-00089,PR-00019,Sucursal Group Roma,Italia,Roma,+39 677044431,"514 Perez Garden Suite 921
Miguelbury, WI 96334",Nicholas Watson,"Todos los días, 8:00–22:00","Reparaciones, Entrega y recogida, Logística, Soporte técnico"
BR-00090,PR-00084,Sucursal and Sons Caracas,Venezuela,Caracas,+58 674545096,"443 Daniel Mission
Aprilmouth, MD 28904",Hunter Gonzalez,"Lunes a Viernes, 9:00–18:00","Consultoría, Reparaciones"
BR-00091,PR-00035,Sucursal Inc Barquisimeto,Venezuela,Barquisimeto,+58 676131976,"269 Jeffery Junctions
Port Kennethhaven, CA 33387",David Flores,"Lunes a Viernes, 9:00–18:00","Entrega y recogida, Atención al cliente, Consultoría, Ventas"
BR-00092,PR-00077,Sucursal and Sons Nueva York,Estados Unidos,Nueva York,+1 638549564,"248 Burke Stravenue
Drewport, AZ 79989",Daniel Berry,"Lunes a Sábado, 10:00–20:00","Atención al cliente, Logística, Consultoría"
BR-00093,PR-00040,Sucursal LLC Guadalajara,México,Guadalajara,+52 650991218,"832 Woods Hills
Carterton, CT 95240",Madeline Solis,"Lunes a Sábado, 10:00–20:00","Ventas, Consultoría, Soporte técnico"
BR-00094,PR-00078,Sucursal Inc La Romana,Dominican Republic,La Romana,+1 609797263,"53307 Mariah Shores Apt. 516
Maryville, OR 21758",Lisa Knight,"Lunes a Viernes, 8:30–17:30","Consultoría, Soporte técnico, Logística"
BR-00095,PR-00024,Sucursal Ltd Chicago,Estados Unidos,Chicago,+1 680845925,"96400 Lisa Inlet
Sanchezton, UT 26361",Erik Smith,"Lunes a Viernes, 8:30–17:30","Soporte técnico, Atención al cliente, Entrega y recogida"
BR-00096,PR-00089,Sucursal LLC Valencia,España,Valencia,+34 628730548,"155 Mays Brooks Suite 571
Erinfurt, UT 23348",Cody Woods,"Lunes a Sábado, 10:00–20:00","Atención al cliente, Entrega y recogida"
BR-00097,PR-00100,Sucursal Inc Sevilla,España,Sevilla,+34 640997683,"2738 Joseph Roads
Anneville, AK 95483",Angela Murray,"Lunes a Sábado, 10:00–20:00","Soporte técnico, Reparaciones"
BR-00098,PR-00085,Sucursal PLC La Romana,Dominican Republic,La Romana,+1 601460628,"482 Timothy Hills
New Jeffreyview, IL 61222",Casey Cantu,"Lunes a Viernes, 9:00–18:00","Atención al cliente, Logística, Soporte técnico"
BR-00099,PR-00080,Sucursal Group Caracas,Venezuela,Caracas,+58 655065089,"0443 Samuel Fort
Shawnside, AK 90390",Patrick Wang,"Lunes a Viernes, 8:30–17:30","Entrega y recogida, Reparaciones, Logística, Ventas"
BR-00100,PR-00061,Sucursal PLC Santiago de los Caballeros,Dominican Republic,Santiago de los Caballeros,+1 631498815,"127 Brooks Well
Kennedybury, PA 51363",Patrick Pearson,"Todos los días, 8:00–22:00","Ventas, Entrega y recogida, Reparaciones"
